well_id,date,value,aquifer_id
aqx-2b-pasture-well-2-17.99N76.88W,2017-01-13,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-04-06,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-08-16,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2017-12-07,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2018-04-27,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2019-05-21,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2020-11-24,0.00,3
aqx-2b-pasture-well-2-17.99N76.88W,2021-11-09,0.00,3
aqx-alluvium-tube-well-17.97N77.02W,2021-11-03,0.3,3
aqx-alluvium-tube-well-17.97N77.02W,2020-11-12,0.40,3
aqx-alluvium-tube-well-17.97N77.02W,2022-04-21,0.20,3
aqx-alluvium-tube-well-17.97N77.02W,2022-11-24,0.60,3
aqx-alluvium-tube-well-17.97N77.02W,2023-04-12,0.80,3
aqx-alluvium-tube-well-17.97N77.02W,2024-04-16,12.00,3
aqx-alluvium-tube-well-17.97N77.02W,2024-11-13,0.70,3
aqx-alluvium-tube-well-17.97N77.02W,2025-04-02,4.80,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-04-16,12.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2021-01-20,0.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2022-06-21,0.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2024-03-08,0.00,3
aqx-angels-1-well-angels-pen-18.04N76.98W,2025-01-20,0.00,3
aqx-angels-2-well-18.03N76.97W,2021-03-01,0.00,3
aqx-angels-2-well-18.03N76.97W,2022-06-21,0.00,3
aqx-angels-2-well-18.03N76.97W,2023-02-26,0.00,3
aqx-angels-2-well-18.03N76.97W,2023-09-13,0.00,3
aqx-angels-2-well-18.03N76.97W,2025-01-20,0.00,3
aqx-ariguanabo-2-well-18.04N76.99W,2024-05-02,0.00,3
aqx-ariguanabo-textile-deep--18.03N76.98W,2003-09-15,0.00,3
aqx-banbury-4-18.14N77.04W,2017-04-30,0.00,3
625,2017-04-30,0.00,3
aqx-bellevue-well-18.00N77.01W,2016-07-04,0.00,3
aqx-bellevue-well-18.00N77.01W,2017-04-28,0.00,3
aqx-bellevue-well-18.00N77.01W,2017-11-13,0.00,3
aqx-bellevue-well-18.00N77.01W,2020-12-07,0.00,3
aqx-bellevue-well-18.00N77.01W,2021-04-20,0.00,3
aqx-bellevue-well-18.00N77.01W,2021-11-01,0.00,3
aqx-bellevue-well-18.00N77.01W,2022-11-09,0.00,3
aqx-bellevue-well-18.00N77.01W,2023-04-11,0.00,3
aqx-bellevue-well-18.00N77.01W,2023-10-31,0.00,3
aqx-bellevue-well-18.00N77.01W,2024-04-16,0.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2017-03-14,0.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2017-11-01,0.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2019-04-10,0.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2019-11-14,0.00,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2021-06-01,1.20,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2021-11-03,0.60,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2022-04-21,0.40,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2022-11-24,0.80,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2023-04-12,0.40,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2023-11-09,0.30,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2024-11-13,11.10,3
aqx-best-dressed-chicken-hat-17.99N76.91W,2025-04-02,3.00,3
aqx-bodles-1r-17.93N77.13W,2006-08-04,0.00,3
aqx-bodles-1r-17.93N77.13W,2006-10-06,0.00,3
aqx-bodles-1r-17.93N77.13W,2006-12-08,0.00,3
aqx-bodles-1r-17.93N77.13W,2010-10-27,0.00,3
aqx-bodles-1r-17.93N77.13W,2014-03-20,0.00,3
aqx-bodles-1r-17.93N77.13W,2015-05-02,0.00,3
aqx-bodles-1r-17.93N77.13W,2017-05-05,0.00,3
aqx-bodles-1r-17.93N77.13W,2020-01-08,0.00,3
aqx-bodles-1r-17.93N77.13W,2020-12-03,0.00,3
aqx-bodles-1r-17.93N77.13W,2021-11-26,0.00,3
aqx-bodles-1r-17.93N77.13W,2022-04-21,0.00,3
aqx-bodles-1r-17.93N77.13W,2022-11-24,0,3
aqx-bodles-1r-17.93N77.13W,2023-04-19,0.00,3
aqx-bodles-1r-17.93N77.13W,2023-12-05,0.00,3
aqx-bodles-1r-17.93N77.13W,2023-12-11,0.00,3
1078,2006-08-04,0,3
1078,2006-10-06,0.00,3
1078,2019-11-07,0.00,3
867,2010-10-27,0.00,3
867,2014-03-20,0.00,3
867,2015-05-02,0.00,3
867,2017-05-05,0.00,3
867,2020-01-08,0.00,3
